latitude,longitude,heading
40.62630827310324,-8.714796648817527,258.1
40.62629795689504,-8.71486089951848,258.1
40.62628764068682,-8.714925150209547,258.1
40.62627732447858,-8.714989400890728,258.1
40.62626700827032,-8.715053651562021,258.1
40.62625669206205,-8.715117902223428,258.1
40.626246375853746,-8.715182152874947,258.1
40.62623605964543,-8.71524640351658,258.1
40.62622574343709,-8.715310654148327,258.1
40.626215427228736,-8.715374904770192,258.1
40.62620511102037,-8.715439155382166,258.1
40.62619479481198,-8.715503405984258,258.1
40.62618447860358,-8.715567656576464,258.1
40.62617416239516,-8.715631907158782,258.1
40.626163846186714,-8.715696157731214,258.1
40.62615352997826,-8.715760408293761,258.1
40.62614321376978,-8.71582465884642,258.1
40.626132897561284,-8.715888909389193,258.1
40.62612258135276,-8.715953159922083,258.1
40.62611226514422,-8.716017410445081,258.1
40.62610194893566,-8.716081660958196,258.1
40.626091632727096,-8.716145911461425,258.1
40.626081316518516,-8.716210161954765,258.1
40.6260710003099,-8.71627441243822,258.1
40.62606068410126,-8.716338662911793,258.1
40.62605036789262,-8.716402913375477,258.1
40.62604005168395,-8.716467163829275,258.1
40.62602973547526,-8.716531414273192,258.1
40.626019419266555,-8.716595664707219,258.1
40.62600910305783,-8.716659915131359,258.1
40.625998786849095,-8.716724165545616,258.1
40.62598847064034,-8.716788415949981,258.1
40.625978154431564,-8.716852666344463,258.1
40.62596783822277,-8.716916916729058,258.1
40.625957522013955,-8.716981167103768,258.1
40.625947205805126,-8.717045417468595,258.1
40.625936889596275,-8.717109667823534,258.1
40.62592657338741,-8.717173918168585,258.1
40.62591625717852,-8.717238168503751,258.1
40.62590594096962,-8.717302418829032,258.1
40.625895624760695,-8.717366669144425,258.1
40.625885308551744,-8.717430919449933,258.1
40.625874992342794,-8.717495169745554,258.1
40.62586467613381,-8.717559420031291,258.1
40.625854359924816,-8.717623670307141,258.1
40.62584404371581,-8.717687920573105,258.1
40.62583372750678,-8.717752170829185,258.1
40.62582341129772,-8.717816421075376,258.1
40.62581309508865,-8.717880671311681,258.1
40.62580277887956,-8.7179449215381,258.1
40.62579246267045,-8.718009171754634,258.1
40.625782146461326,-8.71807342196128,258.1
40.62577183025218,-8.718137672158042,258.1
40.625761514043006,-8.718201922344921,258.1
40.62575119783383,-8.718266172521911,258.1
40.625740881624615,-8.718330422689018,258.1
40.625730565415395,-8.718394672846237,258.1
40.62572024920616,-8.71845892299357,258.1
40.62570993299691,-8.718523173131018,258.1
40.625699616787635,-8.718587423258581,258.1
40.62568930057835,-8.71865167337626,258.1
40.62567898436904,-8.718715923484048,258.1
40.62566866815972,-8.718780173581953,258.1
40.625658351950364,-8.718844423669971,258.1
40.62564803574101,-8.718908673748105,258.1
40.625637719531625,-8.718972923816354,258.1
40.62562740332222,-8.71903717387471,258.1
40.62561708711279,-8.719101423923187,258.1
40.62560677090334,-8.719165673961777,258.1
40.62559645469389,-8.719229923990477,258.1
40.62558613848441,-8.719294174009292,258.1
40.62557582227491,-8.719358424018221,258.1
40.6255655060654,-8.719422674017268,258.1
40.62555518985586,-8.719486924006429,258.1
40.62554487364631,-8.719551173985703,258.1
40.62553455743673,-8.719615423955094,258.1
40.62552424122713,-8.719679673914598,258.1
40.625513925017515,-8.719743923864215,258.1
40.6255036088079,-8.719808173803942,258.1
40.62549329259826,-8.719872423733788,258.1
40.6254829763886,-8.719936673653748,258.1
40.62547266017893,-8.72000092356382,258.1
40.62546234396923,-8.720065173464006,258.1
40.62545202775951,-8.720129423354308,258.1
40.62544171154977,-8.720193673234727,258.1
40.62543139534001,-8.720257923105256,258.1
40.62542107913024,-8.720322172965902,258.1
40.62541076292045,-8.72038642281666,258.1
40.625400446710636,-8.720450672657531,258.1
40.625390130500804,-8.720514922488515,258.1
40.62537981429096,-8.720579172309614,258.1
40.625369498081106,-8.72064342212083,258.1
40.62535918187122,-8.72070767192216,258.1
40.62534886566132,-8.720771921713602,258.1
40.625338549451406,-8.72083617149516,258.1
40.62532823324147,-8.720900421266835,258.1
40.62531791703152,-8.720964671028621,258.1
40.62530760082155,-8.721028920780524,258.1
40.625297284611555,-8.721093170522542,258.1
40.62528696840154,-8.721157420254672,258.1
